Recency,Frequency,Monetary,Last_Review,Labels,Last_Order
146,1,137.38,5.0,3,2018-05-24
138,1,133.89,5.0,3,2018-06-01
175,1,131.76,4.0,3,2018-04-25
155,1,135.8,5.0,3,2018-05-15
88,1,138.64,5.0,3,2018-07-21
56,1,84.14,5.0,3,2018-08-22
142,1,108.51,5.0,3,2018-05-28
90,1,129.19,5.0,3,2018-07-19
161,1,116.66,5.0,3,2018-05-09
123,1,129.86,5.0,3,2018-06-16
80,1,91.1,5.0,3,2018-07-29
65,1,142.43,5.0,3,2018-08-13
177,1,90.55,3.0,3,2018-04-23
87,1,97.59,5.0,3,2018-07-22
138,1,127.84,5.0,3,2018-06-01
112,1,94.74,5.0,3,2018-06-27
172,1,97.19,5.0,3,2018-04-28
66,1,134.65,4.0,3,2018-08-12
93,1,114.91,5.0,3,2018-07-16
106,1,142.55,5.0,3,2018-07-03
91,1,89.82,4.0,3,2018-07-18
160,1,135.72,1.0,1,2018-05-10
165,1,118.11,5.0,3,2018-05-05
161,1,83.7,4.0,3,2018-05-09
166,1,127.32,1.0,1,2018-05-04
155,1,93.0,4.0,3,2018-05-15
75,1,131.46,4.0,3,2018-08-03
98,1,90.83,5.0,3,2018-07-11
165,1,110.0,5.0,3,2018-05-05
195,1,111.85,3.0,1,2018-04-05
65,1,116.76,5.0,3,2018-08-13
71,1,147.29,5.0,3,2018-08-07
112,1,81.34,5.0,3,2018-06-27
120,1,82.14,5.0,3,2018-06-19
58,1,147.59,5.0,3,2018-08-20
72,1,101.17,5.0,3,2018-08-06
75,1,78.42,4.0,3,2018-08-03
111,1,105.6,4.0,3,2018-06-28
73,1,145.0,5.0,3,2018-08-05
195,1,116.26,3.0,1,2018-04-05
192,1,114.27,5.0,3,2018-04-08
169,1,88.81,5.0,3,2018-05-01
166,1,89.24,3.0,3,2018-05-04
156,1,89.36,1.0,1,2018-05-14
155,1,144.61,1.0,1,2018-05-15
150,1,92.78,1.0,1,2018-05-20
182,1,79.68,1.0,1,2018-04-18
195,1,131.17,5.0,3,2018-04-05
148,1,139.25,5.0,3,2018-05-22
163,1,99.9,5.0,3,2018-05-07
62,1,111.64,1.0,1,2018-08-16
131,1,138.56,5.0,3,2018-06-08
104,1,129.53,4.0,3,2018-07-05
60,1,78.7,1.0,1,2018-08-18
88,1,83.79,5.0,3,2018-07-21
136,1,94.85,5.0,3,2018-06-03
165,1,139.29,4.0,3,2018-05-05
84,1,79.23,5.0,3,2018-07-25
106,1,99.45,5.0,3,2018-07-03
75,1,125.77,5.0,3,2018-08-03
198,1,91.82,4.0,3,2018-04-02
161,1,111.93,5.0,3,2018-05-09
58,1,76.74,5.0,3,2018-08-20
116,1,87.66,2.0,1,2018-06-23
135,1,137.27,5.0,3,2018-06-04
169,1,81.02,1.0,1,2018-05-01
63,1,119.37,5.0,3,2018-08-15
79,1,82.56,5.0,3,2018-07-30
188,1,126.47,5.0,3,2018-04-12
72,1,118.8,5.0,3,2018-08-06
146,1,98.03,5.0,3,2018-05-24
168,1,128.85,3.0,3,2018-05-02
171,1,85.41,5.0,3,2018-04-29
182,1,138.74,3.0,3,2018-04-18
121,1,133.4,5.0,3,2018-06-18
139,1,94.5,5.0,3,2018-05-31
91,1,91.79,5.0,3,2018-07-18
169,1,151.37,5.0,3,2018-05-01
55,1,95.78,5.0,3,2018-08-23
139,1,91.92,4.0,3,2018-05-31
84,1,123.35,5.0,3,2018-07-25
99,1,141.19,5.0,3,2018-07-10
160,1,89.25,3.0,3,2018-05-10
159,1,126.68,5.0,3,2018-05-11
168,1,93.82,5.0,3,2018-05-02
75,1,113.33,5.0,3,2018-08-03
101,1,87.11,5.0,3,2018-07-08
101,1,100.41,5.0,3,2018-07-08
72,1,91.23,5.0,3,2018-08-06
113,1,85.81,5.0,3,2018-06-26
66,1,139.22,1.0,1,2018-08-12
75,1,77.37,5.0,3,2018-08-03
65,1,139.02,5.0,3,2018-08-13
120,1,84.84,1.0,1,2018-06-19
178,1,76.31,4.0,3,2018-04-22
194,1,102.49,1.0,1,2018-04-06
176,1,90.99,5.0,3,2018-04-24
82,1,147.71,5.0,3,2018-07-27
156,1,129.24,5.0,3,2018-05-14
