Recency,Frequency,Monetary,Last_Review,Labels,Last_Order
192,0.0,4.738564069158622,5.0,1,2018-04-08
169,0.0,4.486499256270413,5.0,1,2018-05-01
166,0.0,4.4913293695643315,3.0,1,2018-05-04
156,0.0,4.492673154760945,1.0,2,2018-05-14
155,0.0,4.974040463626701,1.0,2,2018-05-15
150,0.0,4.530231099323598,1.0,2,2018-05-20
182,0.0,4.378018613276343,1.0,2,2018-04-18
195,0.0,4.876494191827054,5.0,0,2018-04-05
148,0.0,4.9362708788073935,5.0,0,2018-05-22
163,0.0,4.604169685654508,5.0,1,2018-05-07
62,0.0,4.715279408668121,1.0,2,2018-08-16
131,0.0,4.931303444814125,5.0,0,2018-06-08
104,0.0,4.8639125145421644,4.0,0,2018-07-05
60,0.0,4.365643155423357,1.0,2,2018-08-18
88,0.0,4.428313668625195,5.0,1,2018-07-21
136,0.0,4.552296696381023,5.0,1,2018-06-03
165,0.0,4.93655809069994,4.0,0,2018-05-05
84,0.0,4.372355014977151,5.0,1,2018-07-25
106,0.0,4.599655005299981,5.0,1,2018-07-03
75,0.0,4.834454842059064,5.0,1,2018-08-03
198,0.0,4.519830138821076,4.0,1,2018-04-02
161,0.0,4.717873675901176,5.0,1,2018-05-09
58,0.0,4.340423084818807,5.0,1,2018-08-20
116,0.0,4.473465694990663,2.0,2,2018-06-23
135,0.0,4.921949789263568,5.0,0,2018-06-04
169,0.0,4.394696037774544,1.0,2,2018-05-01
63,0.0,4.782227913106947,5.0,1,2018-08-15
79,0.0,4.4135253017332525,5.0,1,2018-07-30
188,0.0,4.840005125891885,5.0,0,2018-04-12
72,0.0,4.777441406928545,5.0,1,2018-08-06
146,0.0,4.585273554273635,5.0,1,2018-05-24
168,0.0,4.858648937098374,3.0,2,2018-05-02
171,0.0,4.4474631899580555,5.0,1,2018-04-29
182,0.0,4.932601677957155,3.0,2,2018-04-18
121,0.0,4.893352133481524,5.0,0,2018-06-18
139,0.0,4.548599834499697,5.0,1,2018-05-31
91,0.0,4.519503359231,5.0,1,2018-07-18
169,0.0,5.019727170774474,5.0,0,2018-05-01
55,0.0,4.562053894914463,5.0,1,2018-08-23
139,0.0,4.5209186335405,4.0,1,2018-05-31
84,0.0,4.815025842975365,5.0,1,2018-07-25
99,0.0,4.950106501021434,5.0,0,2018-07-10
160,0.0,4.491441420659749,3.0,1,2018-05-10
159,0.0,4.841664221670439,5.0,0,2018-05-11
168,0.0,4.541378052900312,5.0,1,2018-05-02
75,0.0,4.730303916744857,5.0,1,2018-08-03
101,0.0,4.467171687830801,5.0,1,2018-07-08
101,0.0,4.609261803891345,5.0,1,2018-07-08
72,0.0,4.513383790357383,5.0,1,2018-08-06
113,0.0,4.45213554981903,5.0,1,2018-06-26
66,0.0,4.936055415740521,1.0,2,2018-08-12
75,0.0,4.348599108561364,5.0,1,2018-08-03
65,0.0,4.93461780767234,5.0,0,2018-08-13
120,0.0,4.440767129696482,1.0,2,2018-06-19
178,0.0,4.334803991301542,4.0,1,2018-04-22
194,0.0,4.6297652328434715,1.0,2,2018-04-06
176,0.0,4.5107496103686,5.0,1,2018-04-24
82,0.0,4.995250892052509,5.0,0,2018-07-27
156,0.0,4.861671140956298,5.0,0,2018-05-14
114,0.0,4.770684624465665,5.0,1,2018-06-25
125,0.0,4.434144588935989,5.0,1,2018-06-14
89,0.0,4.887337077751762,5.0,0,2018-07-20
79,0.0,4.730303916744857,1.0,2,2018-07-30
182,0.0,4.373112017284307,3.0,1,2018-04-18
93,0.0,4.387511564904451,5.0,1,2018-07-16
113,0.0,4.538602941715978,5.0,1,2018-06-26
82,0.0,4.717784330357226,1.0,2,2018-07-27
134,0.0,4.735847509629708,5.0,1,2018-06-05
86,0.0,4.742668699173725,5.0,1,2018-07-23
171,0.0,4.836043783364212,4.0,0,2018-04-29
153,0.0,4.404521712501253,2.0,2,2018-05-17
108,0.0,4.839134975933884,2.0,2,2018-07-01
90,0.0,4.533781589900438,3.0,1,2018-07-19
130,0.0,4.995724681360501,5.0,0,2018-06-09
155,0.0,4.687579322228809,4.0,1,2018-05-15
57,0.0,4.406109305189839,1.0,2,2018-08-21
54,0.0,4.6414056785701865,5.0,1,2018-08-24
83,0.0,4.617592705986649,5.0,1,2018-07-26
162,0.0,4.942285073208023,5.0,0,2018-05-08
184,0.0,4.91705694713669,5.0,0,2018-04-16
173,0.0,4.356324137321509,5.0,1,2018-04-27
121,0.0,4.480966582528785,3.0,1,2018-06-18
141,0.0,4.4764273100953655,1.0,2,2018-05-29
132,0.0,4.5948167739086,5.0,1,2018-06-07
64,0.0,4.878093887464327,5.0,1,2018-08-14
118,0.0,4.776599301615622,5.0,1,2018-06-21
174,0.0,4.932601677957155,5.0,0,2018-04-26
176,0.0,4.6063694665635735,5.0,1,2018-04-24
105,0.0,4.637250079451503,5.0,1,2018-07-04
94,0.0,4.967310169357882,5.0,0,2018-07-15
75,0.0,4.776936228842529,5.0,1,2018-08-03
68,0.0,4.90141548910036,5.0,0,2018-08-10
174,0.0,4.565701442077724,5.0,1,2018-04-26
175,0.0,4.42484663185681,5.0,1,2018-04-25
74,0.0,4.480513581388536,5.0,1,2018-08-04
132,0.0,4.785990616655779,4.0,1,2018-06-07
123,0.0,4.966056250698289,2.0,2,2018-06-16
51,0.0,4.672174414768565,5.0,1,2018-08-27
106,0.0,4.968145242475304,4.0,0,2018-07-03
93,0.0,4.517540436027117,4.0,1,2018-07-16
113,0.0,5.018603463745433,5.0,0,2018-06-26
189,0.0,4.6188758330442035,5.0,1,2018-04-11
171,0.0,4.599453878991982,5.0,1,2018-04-29
183,0.0,4.857872539543846,5.0,0,2018-04-17
72,0.0,4.544783035972996,5.0,1,2018-08-06
179,0.0,4.724551943008172,3.0,2,2018-04-21
155,0.0,4.383400690227026,5.0,1,2018-05-15
60,0.0,4.656053396302661,5.0,1,2018-08-18
198,0.0,4.67292228803891,4.0,1,2018-04-02
91,0.0,5.001056227649261,5.0,0,2018-07-18
78,0.0,4.839688795323807,3.0,1,2018-07-31
185,0.0,4.5365700944958345,5.0,1,2018-04-15
93,0.0,4.586395030661757,1.0,2,2018-07-16
106,0.0,4.829273276797001,5.0,1,2018-07-03
118,0.0,4.743104372077405,5.0,1,2018-06-21
79,0.0,4.955404433096837,1.0,2,2018-07-30
79,0.0,4.376008562348319,5.0,1,2018-07-30
112,0.0,4.86128418897221,5.0,0,2018-06-27
182,0.0,4.660131744062066,5.0,1,2018-04-18
137,0.0,4.695924549256556,5.0,1,2018-06-02
182,0.0,4.933898227875873,5.0,0,2018-04-18
149,0.0,4.626638092603332,3.0,1,2018-05-21
138,0.0,4.3670398923655585,5.0,1,2018-06-01
178,0.0,4.474605815966975,5.0,1,2018-04-22
69,0.0,4.323072491830211,5.0,1,2018-08-09
116,0.0,4.725350346244197,5.0,1,2018-06-23
