,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),BuildingType,PrimaryPropertyType,ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),ENERGYSTARScore,TotalGHGEmissions,AgeBuilding,ProportionGFABuilding,ProportionGFAParking,ProportionElectricity,ProportionNaturalGas,ProportionSteamUse,NumberofFloorsByBuildings
402,1980,1.0,1,58480,0,58480,NonResidential,Supermarket / Grocery Store,Supermarket/Grocery Store,Supermarket/Grocery Store,None,None,44431.0,0.0,0.0,0.0,6817771.0,4236763.0,11054535.0,248.8000031,37.0,272.54,36,1.0,0.0,0.6167397362259018,0.3832601733134863,0.0,1.0
403,2005,1.0,6,336700,124800,211900,NonResidential,Large Office,"Office, Parking, Retail Store",Office,Parking,Retail Store,217977.0,4569.0,0.0,0.0,7877393.0,0.0,9058916.0,41.59999847,95.0,54.92,11,0.6293436293436293,0.37065637065637064,0.8695734677305762,0.0,0.0,6.0
404,1996,1.0,4,264008,159994,104014,NonResidential,Retail Store,Retail Store,Retail Store,None,None,98863.0,0.0,0.0,0.0,7307906.0,2629800.0,9937707.0,100.5,42.0,190.61,20,0.39398048543983516,0.6060195145601649,0.7353714493695578,0.26462845000360746,0.0,4.0
405,1914,1.0,2,62220,0,62220,NonResidential,Small- and Mid-Sized Office,"Office, Other - Services, Parking",Office,Parking,Other - Services,60676.0,13780.0,1324.0,0.0,5431426.0,12827.0,5444253.5,87.80000305,32.0,38.55,102,1.0,0.0,0.9976438459377397,0.002356062222304674,0.0,2.0
406,1970,1.0,1,65430,0,65430,NonResidential,Small- and Mid-Sized Office,"Office, Other",Office,Other,None,60732.0,8142.0,0.0,0.0,1705793.0,1475252.0,3181045.5,46.20000076,89.0,90.24,46,1.0,0.0,0.5362365926548363,0.4637632501641363,0.0,1.0
407,2006,1.0,3,102290,42440,59850,NonResidential,Large Office,"Office, Parking",Office,Parking,None,83715.0,18575.0,0.0,0.0,5913177.0,149593.0,6062770.5,72.40000153,26.0,49.17,10,0.5851011829113305,0.4148988170886695,0.9753258844285793,0.024674033100873603,0.0,3.0
408,1926,1.0,3,80004,0,80004,NonResidential,Other,Other,Other,None,None,74864.0,0.0,0.0,0.0,12232122.0,0.0,12232124.0,163.3999939,,85.28,90,1.0,0.0,0.9999998364960984,0.0,0.0,3.0
409,1991,1.0,2,323916,0,323916,NonResidential,Warehouse,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,Office,None,263528.0,60388.0,0.0,0.0,3548085.0,4475979.0,8024064.5,24.79999924,92.0,262.45,25,1.0,0.0,0.44218051836447725,0.5578194193229629,0.0,2.0
410,1932,1.0,14,304052,0,304052,NonResidential,Mixed Use Property,"Medical Office, Office, Parking",Office,Parking,Medical Office,218918.0,156487.0,84051.89844,0.0,18843504.0,2183891.0,21027396.0,69.40000153,66.0,247.35,84,1.0,0.0,0.8961406348175495,0.10385931762544444,0.0,14.0
411,1978,1.0,4,85385,31210,54175,NonResidential,Small- and Mid-Sized Office,"Data Center, Office, Parking",Office,Parking,Data Center,50235.0,25525.0,2875.0,0.0,4855036.0,0.0,4855036.5,91.40000153,,33.85,38,0.6344791239679101,0.36552087603208994,0.9999998970141625,0.0,0.0,4.0
412,1989,1.0,2,98024,0,98024,NonResidential,Distribution Center,"Distribution Center, Office",Distribution Center,Office,None,63896.0,33712.0,0.0,0.0,1373037.0,615298.0,1988334.5,20.39999962,94.0,42.25,27,1.0,0.0,0.6905462838370505,0.3094539676296921,0.0,2.0
413,1928,1.0,1,65000,15000,50000,NonResidential,Mixed Use Property,"Office, Other, Parking",Office,Parking,Other,20000.0,15000.0,10000.0,0.0,1612547.0,991384.0,2603931.25,86.80000305,,63.89,88,0.7692307692307693,0.23076923076923078,0.6192740303723456,0.38072587361897514,0.0,1.0
414,1990,1.0,5,144573,66620,77953,NonResidential,Large Office,"Office, Parking",Office,Parking,None,78521.0,66650.0,0.0,0.0,5135039.0,0.0,5135040.0,65.40000153,62.0,35.8,26,0.5391947320730703,0.46080526792692966,0.9999998052595501,0.0,0.0,5.0
415,1950,1.0,2,302812,0,302812,NonResidential,Retail Store,Retail Store,Retail Store,None,None,302812.0,0.0,0.0,0.0,5590290.0,1700534.0,7290824.5,24.10000038,97.0,129.29,66,1.0,0.0,0.7667569010884846,0.23324303033216615,0.0,2.0
416,1974,1.0,5,86400,0,86400,NonResidential,Small- and Mid-Sized Office,Office,Office,None,None,78200.0,0.0,0.0,0.0,4089680.0,4990341.0,9080022.0,116.0999985,53.0,293.55,42,1.0,0.0,0.45040419505591506,0.5495956948121932,0.0,5.0
418,1981,1.0,6,86483,0,86483,NonResidential,Small- and Mid-Sized Office,"Office, Parking",Office,Parking,None,86483.0,0.0,0.0,0.0,6361236.0,0.0,6361236.5,73.59999847,56.0,44.35,35,1.0,0.0,0.9999999213989292,0.0,0.0,6.0
419,1976,1.0,1,51600,0,51600,NonResidential,Distribution Center,"Distribution Center, Office",Distribution Center,Office,None,34400.0,17200.0,0.0,0.0,815508.0,309035.0,1124543.125,21.79999924,75.0,22.1,40,1.0,0.0,0.7251905079229398,0.27480938092080726,0.0,1.0
420,1968,1.0,1,140520,0,140520,NonResidential,Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,None,None,140520.0,0.0,0.0,0.0,1310524.0,914988.0,2225512.0,15.80000019,61.0,57.73,48,1.0,0.0,0.5888640456667948,0.4111359543332051,0.0,1.0
421,1986,1.0,5,154029,62380,91649,NonResidential,Large Office,"Office, Parking",Office,Parking,None,91645.0,66288.0,0.0,0.0,4060681.0,575715.0,4636396.5,50.59999847,95.0,58.88,30,0.5950113290354414,0.4049886709645586,0.8758269487952551,0.12417294336237204,0.0,5.0
422,2005,1.0,3,161789,91935,69854,NonResidential,Other,"Medical Office, Parking",Parking,Medical Office,None,91935.0,69854.0,0.0,0.0,6947606.0,16010.0,6963616.5,99.69999695,,49.28,11,0.4317598847882118,0.5682401152117882,0.9977008354782317,0.002299092719996858,0.0,3.0
423,2005,1.0,3,63909,0,63909,NonResidential,Medical Office,"Medical Office, Retail Store",Medical Office,Retail Store,None,60670.0,3239.0,0.0,0.0,4765753.0,0.0,4765753.5,74.59999847,,33.22,11,1.0,0.0,0.9999998950847961,0.0,0.0,3.0
424,1948,1.0,2,53472,0,53472,NonResidential,Warehouse,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,Office,None,46846.0,10033.0,0.0,0.0,381025.0,590131.0,971155.625,17.10000038,,34.0,68,1.0,0.0,0.3923418556114526,0.607658530526454,0.0,2.0
425,1980,1.0,1,50417,0,50417,NonResidential,Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,None,None,50417.0,0.0,0.0,0.0,855017.0,992384.0,1847401.0,36.59999847,14.0,58.67,36,1.0,0.0,0.4628215530899897,0.5371784469100104,0.0,1.0
426,1900,1.0,1,43728,0,43728,NonResidential,Restaurant,Restaurant,Restaurant,None,None,43728.0,0.0,0.0,0.0,0.0,11508035.0,11508035.0,263.2000122,,611.19,116,1.0,0.0,0.0,1.0,0.0,1.0
427,1961,1.0,3,133298,0,133298,NonResidential,Medical Office,Medical Office,Medical Office,None,None,133298.0,0.0,0.0,0.0,11600182.0,4040810.0,15640994.0,117.3000031,21.0,295.48,55,1.0,0.0,0.7416524806543625,0.25834739147652636,0.0,3.0
428,1965,1.0,2,168619,0,168619,NonResidential,Retail Store,Retail Store,Retail Store,None,None,173106.0,0.0,0.0,0.0,5456882.0,998946.0,6455828.5,37.29999924,78.0,91.1,51,1.0,0.0,0.8452643994492729,0.15473552310133393,0.0,2.0
430,2000,1.0,4,175885,71385,104500,NonResidential,Large Office,"Office, Parking",Office,Parking,None,103970.0,71390.0,0.0,0.0,6486377.0,0.0,6486377.5,62.40000153,91.0,45.22,16,0.5941382153111407,0.4058617846888592,0.9999999229153714,0.0,0.0,4.0
