,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),BuildingType,PrimaryPropertyType,ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),ENERGYSTARScore,TotalGHGEmissions,AgeBuilding,ProportionGFABuilding,ProportionGFAParking,ProportionElectricity,ProportionNaturalGas,ProportionSteamUse,NumberofFloorsByBuildings
1306,1990,1.0,4,82065,34800,47265,NonResidential,Mixed Use Property,"Office, Parking, Retail Store",Parking,Office,Retail Store,36036.0,27594.0,13945.0,0.0,1717131.0,0.0,1717130.875,41.29999924,91.0,11.97,26,0.5759458965454213,0.42405410345457867,1.0000000727958491,0.0,0.0,4.0
1308,1910,1.0,4,36160,0,36160,NonResidential,Small- and Mid-Sized Office,Office,Office,None,None,36160.0,0.0,0.0,0.0,1862177.0,0.0,1862176.875,51.5,47.0,12.98,106,1.0,0.0,1.0000000671257396,0.0,0.0,4.0
1309,1918,1.0,1,34617,0,34617,NonResidential,Mixed Use Property,"Food Sales, Manufacturing/Industrial Plant, Office, Other - Entertainment/Public Assembly, Other - Restaurant/Bar, Restaurant, Retail Store, Self-Storage Facility",Other - Restaurant/Bar,Office,Manufacturing/Industrial Plant,6455.0,5813.0,5581.0,0.0,2805989.0,2330615.0,5136604.5,148.3999939,,143.34,98,1.0,0.0,0.5462731265371901,0.4537267761222418,0.0,1.0
1314,1909,1.0,5,66900,0,66900,NonResidential,Small- and Mid-Sized Office,Office,Office,None,None,68048.0,0.0,0.0,0.0,1574921.0,59257.0,1634178.25,24.0,100.0,14.13,107,1.0,0.0,0.963738808786618,0.036261038231294535,0.0,5.0
1315,1910,1.0,3,29340,0,29340,NonResidential,Mixed Use Property,"Multifamily Housing, Office, Restaurant",Office,Multifamily Housing,Restaurant,12714.0,11592.0,2836.0,0.0,839832.0,1320588.0,2160420.0,79.59999847,,75.99,106,1.0,0.0,0.38873552364817954,0.6112644763518205,0.0,3.0
1320,2000,1.0,3,50499,13540,36959,NonResidential,Small- and Mid-Sized Office,"Office, Parking",Office,Parking,None,36959.0,13540.0,0.0,0.0,3202764.0,2418.0,3205182.5,86.69999695,13.0,22.46,16,0.7318758787302719,0.2681241212697281,0.9992454407822331,0.0007544032204094463,0.0,3.0
1321,1964,1.0,5,54465,9605,44860,NonResidential,Small- and Mid-Sized Office,"Office, Parking",Office,Parking,None,57972.0,0.0,0.0,0.0,3251200.0,349371.0,3600571.25,62.09999847,68.0,41.22,52,0.8236482144496465,0.17635178555035344,0.902967827674567,0.09703210289200637,0.0,5.0
1322,1930,1.0,2,45960,0,45960,NonResidential,K-12 School,K-12 School,K-12 School,None,None,45960.0,0.0,0.0,0.0,834638.0,3332616.0,4167253.75,90.69999695,56.0,182.81,86,1.0,0.0,0.20028489985761005,0.7997151601339372,0.0,2.0
1326,1959,1.0,2,21128,0,21128,NonResidential,Small- and Mid-Sized Office,Office,Office,None,None,21128.0,0.0,0.0,0.0,436604.0,0.0,436604.0938,20.70000076,97.0,3.04,57,1.0,0.0,0.9999997851600539,0.0,0.0,2.0
1328,2008,1.0,4,274442,0,274442,NonResidential,Mixed Use Property,"Hotel, Multifamily Housing, Parking, Retail Store",Hotel,Parking,Multifamily Housing,108763.0,105499.0,58152.0,0.0,5764988.0,3390579.0,9155568.0,54.20000076,,220.26,8,1.0,0.0,0.6296701635551175,0.37032972722172997,0.0,4.0
1329,2013,1.0,3,51552,0,51552,NonResidential,Small- and Mid-Sized Office,"Data Center, Office",Office,Data Center,None,54150.0,650.0,0.0,0.0,1539066.0,0.0,1539066.375,28.10000038,,10.73,3,1.0,0.0,0.9999997563457911,0.0,0.0,3.0
1330,1959,1.0,4,38520,0,38520,NonResidential,Hotel,Hotel,Hotel,None,None,38500.0,0.0,0.0,0.0,1597279.0,1207255.0,2804534.0,72.80000305,37.0,75.25,57,1.0,0.0,0.5695345465592502,0.4304654534407499,0.0,4.0
1331,1961,1.0,3,29186,4256,24930,NonResidential,Hotel,Hotel,Hotel,None,None,19000.0,0.0,0.0,0.0,343234.0,523951.0,867184.375,45.59999847,95.0,30.22,55,0.8541766600424862,0.14582333995751387,0.3958027956857502,0.6041979250375678,0.0,3.0
1333,1960,1.0,1,27338,0,27338,NonResidential,Worship Facility,Worship Facility,Worship Facility,None,None,27338.0,0.0,0.0,0.0,581289.0,0.0,581289.0,21.29999924,56.0,4.05,56,1.0,0.0,1.0,0.0,0.0,1.0
1335,1999,1.0,2,85750,65640,20110,NonResidential,Other,"K-12 School, Parking",Parking,K-12 School,None,65000.0,20000.0,0.0,0.0,669413.0,1376179.0,2045592.0,102.3000031,,77.76,17,0.2345189504373178,0.7654810495626823,0.32724658680714436,0.6727534131928556,0.0,2.0
1337,1962,1.0,2,34416,0,34416,NonResidential,Laboratory,"Laboratory, Office, Parking",Laboratory,Office,Parking,20649.0,13767.0,2000.0,0.0,4675400.0,7340535.0,12015936.0,349.1000061,,422.45,54,1.0,0.0,0.38909994194376535,0.6108999748334212,0.0,2.0
1338,1930,1.0,3,45864,0,45864,NonResidential,Small- and Mid-Sized Office,Office,Office,None,None,45864.0,0.0,0.0,0.0,480350.0,2110272.0,2590622.0,56.5,94.0,115.43,86,1.0,0.0,0.18541879131729755,0.8145812086827025,0.0,3.0
1340,1999,1.0,2,49252,0,49252,NonResidential,K-12 School,K-12 School,K-12 School,None,None,61099.0,0.0,0.0,0.0,1738749.0,1747116.0,3485865.5,57.09999847,23.0,104.91,17,1.0,0.0,0.49879979591868934,0.5012000606449102,0.0,2.0
1347,1950,1.0,1,34005,0,34005,SPS-District K-12,K-12 School,K-12 School,K-12 School,None,None,50337.0,0.0,0.0,0.0,921835.0,70083.0,991918.0,19.70000076,94.0,10.15,66,1.0,0.0,0.9293459741631869,0.07065402583681313,0.0,1.0
1349,1949,1.0,1,41221,0,41221,SPS-District K-12,K-12 School,K-12 School,K-12 School,None,None,60814.0,0.0,0.0,0.0,1579221.0,667526.0,2246747.5,36.90000153,83.0,46.46,67,1.0,0.0,0.7028920695360739,0.29710770792000435,0.0,1.0
1351,1987,1.0,3,33176,0,33176,NonResidential,Small- and Mid-Sized Office,"Office, Parking",Office,Parking,None,33176.0,15000.0,0.0,0.0,862441.0,563838.0,1426279.5,43.0,89.0,35.96,29,1.0,0.0,0.6046788164591863,0.3953208329783889,0.0,3.0
1352,1993,1.0,3,25194,3764,21430,NonResidential,Retail Store,"Medical Office, Office, Retail Store",Retail Store,Medical Office,Office,10751.0,8044.0,2635.0,0.0,950029.0,928714.0,1878742.875,87.69999695,,55.95,23,0.8505993490513615,0.14940065094863855,0.505672709470688,0.49432735706316383,0.0,3.0
1355,2000,1.0,2,75605,0,75605,SPS-District K-12,K-12 School,K-12 School,K-12 School,None,None,75605.0,0.0,0.0,0.0,1520396.0,754477.0,2274873.5,30.10000038,83.0,50.67,16,1.0,0.0,0.6683430968798925,0.33165668332766635,0.0,2.0
1356,2008,1.0,2,29525,0,29525,SPS-District K-12,K-12 School,K-12 School,K-12 School,None,None,29525.0,0.0,0.0,0.0,964739.0,333074.0,1297812.75,44.0,77.0,24.42,8,1.0,0.0,0.7433576222764031,0.2566425703553922,0.0,2.0
1359,1977,1.0,99,21948,0,21948,NonResidential,Worship Facility,Worship Facility,Worship Facility,None,None,21948.0,0.0,0.0,0.0,326001.0,0.0,326001.1875,14.89999962,80.0,2.27,39,1.0,0.0,0.9999994248487208,0.0,0.0,99.0
1360,1927,1.0,3,31191,0,31191,NonResidential,Other,"Other - Recreation, Self-Storage Facility",Other - Recreation,Self-Storage Facility,None,30095.0,1096.0,0.0,0.0,3123654.0,2752785.0,5876439.0,188.3999939,,167.98,89,1.0,0.0,0.5315555900435621,0.4684444099564379,0.0,3.0
1362,1947,1.0,1,37377,0,37377,NonResidential,Other,"Office, Repair Services (Vehicle, Shoe, Locksmith, etc), Retail Store","Repair Services (Vehicle, Shoe, Locksmith, etc)",Retail Store,Office,31303.0,3468.0,840.0,0.0,1078845.0,1962133.0,3040978.0,85.40000153,,111.73,69,1.0,0.0,0.35476909073331014,0.6452309092666899,0.0,1.0
1364,1977,1.0,1,29380,0,29380,NonResidential,Warehouse,"Non-Refrigerated Warehouse, Office, Other",Non-Refrigerated Warehouse,Office,Other,16768.0,6837.0,5775.0,0.0,856089.0,0.0,856088.625,29.10000038,33.0,5.97,39,1.0,0.0,1.0000004380387604,0.0,0.0,1.0
1373,1922,1.0,2,22688,0,22688,NonResidential,Worship Facility,Worship Facility,Worship Facility,None,None,22688.0,0.0,0.0,0.0,228628.0,103047.0,331675.0,14.60000038,87.0,7.07,94,1.0,0.0,0.6893133338358333,0.31068666616416674,0.0,2.0
1391,1962,1.0,2,22364,0,22364,NonResidential,Other,"Adult Education, Parking",Adult Education,Parking,None,22364.0,0.0,0.0,0.0,508870.0,958160.0,1467029.75,65.59999847,,54.44,54,1.0,0.0,0.346870947913633,0.6531292224987257,0.0,2.0
1392,1982,1.0,2,41262,0,41262,NonResidential,Small- and Mid-Sized Office,Office,Office,None,None,40738.0,0.0,0.0,0.0,1903455.0,0.0,1903455.875,46.70000076,84.0,13.27,34,1.0,0.0,0.9999995403098062,0.0,0.0,2.0
1405,1953,1.0,2,43183,0,43183,NonResidential,Small- and Mid-Sized Office,"Data Center, Office",Office,Data Center,None,26580.0,11497.0,0.0,0.0,6523873.0,884468.0,7408342.0,194.6000061,,92.45,63,1.0,0.0,0.8806117482157276,0.11938811680130318,0.0,2.0
1408,1908,1.0,3,45680,0,45680,NonResidential,Worship Facility,Worship Facility,Worship Facility,None,None,45680.0,0.0,0.0,0.0,509352.0,1567688.0,2077039.375,45.5,79.0,86.81,108,1.0,0.0,0.24522982382074485,0.7547704770883316,0.0,3.0
1418,2006,1.0,14,724148,0,724148,NonResidential,Senior Care Community,Senior Care Community,Senior Care Community,None,None,726000.0,0.0,0.0,0.0,23718388.0,14078694.0,37797084.0,52.09999847,8.0,913.07,10,1.0,0.0,0.6275189906184298,0.3724809564674354,0.0,14.0
1422,1957,1.0,1,23562,0,23562,NonResidential,Worship Facility,"Office, Worship Facility",Worship Facility,Office,None,18278.0,15212.0,0.0,0.0,531737.0,0.0,531737.1875,15.89999962,96.0,3.71,59,1.0,0.0,0.9999996473821948,0.0,0.0,1.0
1425,1999,1.0,4,28844,0,28844,NonResidential,Small- and Mid-Sized Office,"Office, Other",Office,Other,None,10292.0,10200.0,0.0,0.0,910718.0,0.0,910718.6875,44.40000153,,6.35,17,1.0,0.0,0.9999992451016879,0.0,0.0,4.0
1426,1988,1.0,2,54528,0,54528,SPS-District K-12,K-12 School,K-12 School,K-12 School,None,None,54285.0,0.0,0.0,0.0,1972078.0,0.0,1972078.625,36.29999924,75.0,13.75,28,1.0,0.0,0.9999996830755163,0.0,0.0,2.0
1429,1989,1.0,1,21101,0,21101,NonResidential,Warehouse,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,Office,None,18373.0,2728.0,0.0,0.0,171716.0,504057.0,675772.875,32.0,,27.97,27,1.0,0.0,0.25410312599481,0.7458970589785806,0.0,1.0
1430,1914,1.0,2,45594,0,45594,NonResidential,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,None,None,45594.0,0.0,0.0,0.0,1351268.0,0.0,1351267.875,29.60000038,75.0,9.42,102,1.0,0.0,1.0000000925057142,0.0,0.0,2.0
1431,1950,1.0,1,26660,0,26660,NonResidential,Other,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,None,None,26660.0,0.0,0.0,0.0,2241280.0,0.0,2241280.5,84.09999847,,15.62,66,1.0,0.0,0.9999997769132423,0.0,0.0,1.0
1432,1975,1.0,1,28126,0,28126,NonResidential,Warehouse,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,Office,None,21780.0,6346.0,0.0,0.0,598370.0,272256.0,870625.8125,31.0,44.0,18.63,41,1.0,0.0,0.6872872265086902,0.3127129888536357,0.0,1.0
1433,1964,1.0,1,35000,0,35000,NonResidential,Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,None,None,35000.0,0.0,0.0,0.0,378714.0,0.0,378714.4063,10.80000019,53.0,2.64,52,1.0,0.0,0.9999989271599041,0.0,0.0,1.0
1434,1962,1.0,1,26150,0,26150,NonResidential,Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,None,None,26150.0,0.0,0.0,0.0,815508.0,392900.0,1208407.625,46.20000076,6.0,26.55,54,1.0,0.0,0.6748616800560159,0.32513863026973205,0.0,1.0
1435,1967,1.0,2,24000,0,24000,NonResidential,Small- and Mid-Sized Office,Office,Office,None,None,24000.0,0.0,0.0,0.0,1088556.0,0.0,1088556.25,45.40000153,73.0,7.59,49,1.0,0.0,0.999999770338005,0.0,0.0,2.0
1436,1968,1.0,5,43594,0,43594,NonResidential,K-12 School,K-12 School,K-12 School,None,None,40809.0,0.0,0.0,0.0,1264732.0,1213313.0,2478045.5,60.70000076,38.0,73.26,48,1.0,0.0,0.5103748095020855,0.4896249887259939,0.0,5.0
1442,1912,1.0,1,28080,0,28080,NonResidential,Distribution Center,"Distribution Center, Office",Distribution Center,Office,None,25580.0,2500.0,0.0,0.0,513012.0,281713.0,794724.625,28.29999924,,18.54,104,1.0,0.0,0.6455217113726657,0.3544787604888926,0.0,1.0
1456,1954,1.0,2,51298,0,51298,NonResidential,Senior Care Community,Senior Care Community,Senior Care Community,None,None,51298.0,0.0,0.0,0.0,2094607.0,3560971.0,5655578.0,110.1999969,85.0,203.73,62,1.0,0.0,0.3703612610417538,0.6296387389582462,0.0,2.0
1458,1962,1.0,1,22047,0,22047,NonResidential,Worship Facility,"Parking, Worship Facility",Worship Facility,Parking,None,22898.0,0.0,0.0,0.0,265775.0,0.0,265774.9063,11.60000038,100.0,1.85,54,1.0,0.0,1.0000003525539762,0.0,0.0,1.0
1462,1979,1.0,1,31600,0,31600,NonResidential,Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,None,None,31600.0,0.0,0.0,0.0,1633306.0,1730229.0,3363535.5,106.4000015,3.0,103.28,37,1.0,0.0,0.48559202065802487,0.5144078306888689,0.0,1.0
1463,2007,1.0,1,35289,0,35289,NonResidential,Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,None,None,35289.0,0.0,0.0,0.0,490823.0,385602.0,876425.0,24.79999924,63.0,23.9,9,1.0,0.0,0.5600285249736144,0.4399714750263856,0.0,1.0
1464,1981,1.0,1,28920,0,28920,NonResidential,Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,None,None,30000.0,0.0,0.0,0.0,279044.0,1471375.0,1750419.0,58.29999924,50.0,80.09,35,1.0,0.0,0.15941554564935595,0.840584454350644,0.0,1.0
1465,1978,1.0,1,22176,0,22176,NonResidential,Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,None,None,22176.0,0.0,0.0,0.0,137469.0,598959.0,736428.625,33.20000076,60.0,32.77,38,1.0,0.0,0.18666982153226322,0.8133293297772068,0.0,1.0
1466,1978,1.0,1,31300,0,31300,NonResidential,Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,None,None,31300.0,0.0,0.0,0.0,220913.0,141961.0,362874.0,11.60000038,89.0,9.08,38,1.0,0.0,0.6087870720966506,0.3912129279033494,0.0,1.0
1467,1979,1.0,1,22000,0,22000,NonResidential,Warehouse,"Non-Refrigerated Warehouse, Parking",Non-Refrigerated Warehouse,Parking,None,22000.0,0.0,0.0,0.0,700628.0,0.0,700627.625,31.79999924,14.0,4.88,37,1.0,0.0,1.0000005352343908,0.0,0.0,1.0
1468,1974,1.0,3,39927,0,39927,NonResidential,Small- and Mid-Sized Office,"Office, Parking",Office,Parking,None,39541.0,0.0,0.0,0.0,3568419.0,0.0,3568419.5,90.19999695,38.0,24.88,42,1.0,0.0,0.999999859881945,0.0,0.0,3.0
1469,1979,1.0,1,30610,0,30610,NonResidential,Other,"Office, Other - Recreation",Other - Recreation,Office,None,23320.0,7290.0,0.0,0.0,1999987.0,2294563.0,4294550.0,140.3000031,,135.81,37,1.0,0.0,0.46570350793447507,0.5342964920655249,0.0,1.0
1470,1980,1.0,2,26930,6350,20580,NonResidential,Medical Office,Medical Office,Medical Office,None,None,26930.0,0.0,0.0,0.0,1002995.0,0.0,1002995.0,37.20000076,64.0,6.99,36,0.7642034905310063,0.2357965094689937,1.0,0.0,0.0,2.0
1471,1968,1.0,2,38745,0,38745,NonResidential,Medical Office,"Medical Office, Parking",Medical Office,Parking,None,65069.0,0.0,0.0,0.0,2251578.0,638800.0,2890379.0,44.40000153,76.0,49.62,48,1.0,0.0,0.7789905752844177,0.2210090787401929,0.0,2.0
1472,1959,1.0,2,20296,0,20296,NonResidential,Self-Storage Facility,Self-Storage Facility,Self-Storage Facility,None,None,20296.0,0.0,0.0,0.0,855665.0,0.0,855665.125,42.20000076,,5.97,57,1.0,0.0,0.9999998539148127,0.0,0.0,2.0
1473,1945,1.0,2,22135,0,22135,NonResidential,Mixed Use Property,"Medical Office, Non-Refrigerated Warehouse, Office, Retail Store",Medical Office,Office,Retail Store,10388.0,8116.0,3200.0,0.0,858099.0,403535.0,1261634.5,55.0,,27.41,71,1.0,0.0,0.6801486484397818,0.3198509552489251,0.0,2.0
1474,1967,1.0,3,38378,0,38378,NonResidential,Medical Office,"Medical Office, Parking",Medical Office,Parking,None,35066.0,3312.0,0.0,0.0,729620.0,915985.0,1645605.125,46.90000153,86.0,53.73,49,1.0,0.0,0.44337489529877344,0.556625028741327,0.0,3.0
1475,1980,1.0,2,33576,0,33576,NonResidential,Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,None,None,33576.0,0.0,0.0,0.0,390124.0,885108.0,1275231.75,38.0,64.0,49.73,36,1.0,0.0,0.3059240016569537,0.694076194385844,0.0,2.0
1476,1975,1.0,1,33005,0,33005,NonResidential,Supermarket / Grocery Store,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,Parking,None,34982.0,0.0,0.0,0.0,7359683.0,3283070.0,10642754.0,304.2000122,21.0,225.67,41,1.0,0.0,0.6915205406420181,0.30847936539733983,0.0,1.0
1481,1981,1.0,1,20971,0,20971,NonResidential,Other,"Bank Branch, Medical Office, Parking, Retail Store",Parking,Retail Store,Medical Office,23483.0,10360.0,8509.0,0.0,729397.0,0.0,729397.1875,33.29999924,,5.08,35,1.0,0.0,0.9999997429384111,0.0,0.0,1.0
1486,1927,1.0,3,23910,0,23910,NonResidential,Small- and Mid-Sized Office,"Office, Retail Store",Office,Retail Store,None,20000.0,3910.0,0.0,0.0,678167.0,195410.0,873577.3125,36.5,,15.11,89,1.0,0.0,0.7763102249750792,0.22368941730042927,0.0,3.0
1488,1910,1.0,2,21765,0,21765,NonResidential,Worship Facility,Worship Facility,Worship Facility,None,None,21765.0,0.0,0.0,0.0,119922.0,311468.0,431390.4063,19.79999924,80.0,17.38,106,1.0,0.0,0.27798949222946595,0.7220095659322501,0.0,2.0
1494,1939,1.0,2,2200000,0,2200000,Campus,University,"College/University, Parking",College/University,Parking,None,1719643.0,318960.0,0.0,0.0,61672821.0,52975694.0,114648520.0,66.69999695,,3243.48,77,1.0,0.0,0.5379294996568643,0.46207045673158276,0.0,2.0
1496,1901,1.0,2,26560,0,26560,NonResidential,Worship Facility,Worship Facility,Worship Facility,None,None,26560.0,0.0,0.0,0.0,609983.0,1141501.0,1751483.875,65.90000153,1.0,64.88,115,1.0,0.0,0.34826640924684504,0.6517336621212113,0.0,2.0
1497,1957,1.0,2,20140,0,20140,NonResidential,Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,None,None,20140.0,0.0,0.0,0.0,116487.0,0.0,116486.6016,5.800000191,49.0,0.81,59,1.0,0.0,1.0000034201358314,0.0,0.0,2.0
1508,1992,1.0,2,38845,0,38845,NonResidential,Retail Store,"Parking, Retail Store",Retail Store,Parking,None,38845.0,6000.0,0.0,0.0,3290526.0,3626753.0,6917280.0,178.1000061,82.0,215.56,24,1.0,0.0,0.47569651654985773,0.5243033388846483,0.0,2.0
1509,1953,1.0,1,26092,0,26092,NonResidential,Supermarket / Grocery Store,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,Parking,None,25946.0,0.0,0.0,0.0,5004995.0,2614450.0,7619445.0,293.7000122,40.0,173.75,63,1.0,0.0,0.6568713338044962,0.34312866619550375,0.0,1.0
1510,1955,1.0,1,38582,0,38582,SPS-District K-12,K-12 School,K-12 School,K-12 School,None,None,40374.0,0.0,0.0,0.0,729477.0,1119402.0,1848878.5,45.79999924,85.0,64.54,61,1.0,0.0,0.39455107515177446,0.6054491952824375,0.0,1.0
1512,1967,1.0,1,25500,0,25500,NonResidential,Small- and Mid-Sized Office,Office,Office,None,None,25500.0,0.0,0.0,0.0,198748.0,1015122.0,1213869.75,47.59999847,98.0,55.3,49,1.0,0.0,0.16373091099765852,0.8362692949552454,0.0,1.0
1513,1961,1.0,1,41895,0,41895,NonResidential,Warehouse,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,Office,None,37524.0,2596.0,0.0,0.0,886222.0,356089.0,1242311.5,31.0,,25.09,55,1.0,0.0,0.7133653677036718,0.2866342298207817,0.0,1.0
1514,1958,1.0,2,56193,0,56193,NonResidential,Retail Store,Retail Store,Retail Store,None,None,56193.0,0.0,0.0,0.0,1858950.0,638992.0,2497942.75,44.5,,46.9,58,1.0,0.0,0.7441923959226047,0.25580730383032196,0.0,2.0
1518,1922,1.0,3,35448,0,35448,NonResidential,K-12 School,K-12 School,K-12 School,None,None,35448.0,0.0,0.0,0.0,280549.0,1099383.0,1379932.5,38.90000153,97.0,60.34,94,1.0,0.0,0.20330632114251965,0.7966933165209168,0.0,3.0
1519,1966,1.0,1,29214,0,29214,NonResidential,Supermarket / Grocery Store,Supermarket/Grocery Store,Supermarket/Grocery Store,None,None,29214.0,0.0,0.0,0.0,6227281.0,3108958.0,9336239.0,319.6000061,8.0,208.53,50,1.0,0.0,0.6670010268588883,0.33299897314111176,0.0,1.0
1522,2000,1.0,1,89103,43035,46068,NonResidential,Supermarket / Grocery Store,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,Parking,None,47034.0,0.0,0.0,0.0,7808020.0,6221459.0,14029480.0,298.2999878,34.0,384.85,16,0.5170196289687216,0.4829803710312784,0.5565437920721225,0.44345613664939826,0.0,1.0
1523,1961,1.0,1,32000,0,32000,NonResidential,Other,"Office, Other - Recreation",Other - Recreation,Office,None,29880.0,4700.0,0.0,0.0,548631.0,782491.0,1331122.125,38.5,,45.38,55,1.0,0.0,0.41215677336893486,0.5878431327253313,0.0,1.0
1524,1910,1.0,2,31140,0,31140,NonResidential,Mixed Use Property,"Non-Refrigerated Warehouse, Other, Retail Store",Other,Retail Store,Non-Refrigerated Warehouse,14840.0,9400.0,6900.0,0.0,234613.0,700967.0,935580.3125,30.0,,38.86,106,1.0,0.0,0.2507673546198098,0.7492323113629008,0.0,2.0
1525,1975,1.0,3,41478,0,41478,NonResidential,Warehouse,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,Office,None,31932.0,9546.0,0.0,0.0,1799383.0,1236579.0,3035962.25,73.19999695,3.0,78.22,41,1.0,0.0,0.5926895171374413,0.4073104005163437,0.0,3.0
1526,1980,1.0,1,39840,0,39840,NonResidential,Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,None,None,39840.0,0.0,0.0,0.0,752104.0,0.0,752104.0,18.89999962,2.0,5.24,36,1.0,0.0,1.0,0.0,0.0,1.0
1534,2004,1.0,1,30576,15576,15000,Nonresidential COS,Other,"Library, Other - Services",Library,Other - Services,None,15000.0,3100.0,0.0,0.0,930038.0,603208.0,1533245.75,84.69999695,,38.52,12,0.49058084772370486,0.5094191522762951,0.6065811693917952,0.39341899366099664,0.0,1.0
1537,1924,1.0,2,21528,0,21528,NonResidential,Other,Social/Meeting Hall,Social/Meeting Hall,None,None,21528.0,0.0,0.0,0.0,209914.0,96997.0,306911.0938,14.30000019,,6.61,92,1.0,0.0,0.6839570293825593,0.3160426649914732,0.0,2.0
1538,1928,1.0,2,30000,0,30000,NonResidential,Other,"Parking, Strip Mall",Strip Mall,Parking,None,25828.0,0.0,0.0,0.0,975561.0,119380.0,1094940.75,42.40000153,,13.14,88,1.0,0.0,0.8909714977728247,0.10902873055003205,0.0,2.0
1557,1942,1.0,2,30087,0,30087,NonResidential,Other,Other,Other,None,None,30554.0,0.0,0.0,0.0,5274641.0,0.0,5274642.0,172.6000061,,36.77,74,1.0,0.0,0.9999998104136736,0.0,0.0,2.0
1558,1975,1.0,1,40445,0,40445,NonResidential,Worship Facility,Worship Facility,Worship Facility,None,None,40445.0,0.0,0.0,0.0,271219.0,515035.0,786253.6875,19.39999962,92.0,29.24,41,1.0,0.0,0.3449510053967155,0.6550493920577002,0.0,1.0
1559,1996,1.0,1,23500,0,23500,NonResidential,Retail Store,Retail Store,Retail Store,None,None,23500.0,0.0,0.0,0.0,1021883.0,116084.0,1137967.5,48.40000153,53.0,13.29,20,1.0,0.0,0.8979896174539256,0.1020099431662152,0.0,1.0
1560,1967,1.0,1,22420,0,22420,NonResidential,Retail Store,Retail Store,Retail Store,None,None,23067.0,0.0,0.0,0.0,927422.0,476832.0,1404253.75,60.90000153,82.0,31.79,49,1.0,0.0,0.6604376167768824,0.3395625612536196,0.0,1.0
1563,1961,1.0,1,25842,0,25842,NonResidential,Supermarket / Grocery Store,Supermarket/Grocery Store,Supermarket/Grocery Store,None,None,25987.0,0.0,0.0,0.0,4656997.0,3861316.0,8518313.0,327.7999878,35.0,237.54,55,1.0,0.0,0.5467041420055826,0.45329585799441746,0.0,1.0
1565,1992,1.0,3,26389,0,26389,NonResidential,Small- and Mid-Sized Office,"Fitness Center/Health Club/Gym, Office",Office,Fitness Center/Health Club/Gym,None,16766.0,9623.0,0.0,0.0,1208035.0,0.0,1208035.375,45.79999924,,8.42,24,1.0,0.0,0.9999996895786268,0.0,0.0,3.0
1566,1982,1.0,3,25859,0,25859,NonResidential,Small- and Mid-Sized Office,"Office, Parking",Office,Parking,None,25859.0,4000.0,0.0,0.0,665707.0,193073.0,858780.625,33.20000076,88.0,14.9,34,1.0,0.0,0.7751770133379523,0.22482225888596405,0.0,3.0
1567,1974,1.0,1,25600,0,25600,NonResidential,Warehouse,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,Office,None,20600.0,5000.0,0.0,0.0,1249609.0,480992.0,1730600.625,67.59999847,1.0,34.26,42,1.0,0.0,0.7220666524375027,0.27793356425027294,0.0,1.0
1568,1965,1.0,1,23169,0,23169,NonResidential,Other,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,None,None,10200.0,0.0,0.0,0.0,222256.0,0.0,222255.9063,21.79999924,,1.55,51,1.0,0.0,1.0000004215860967,0.0,0.0,1.0
1569,2008,1.0,4,41784,8399,33385,NonResidential,Small- and Mid-Sized Office,"Office, Parking",Office,Parking,None,33385.0,8399.0,0.0,0.0,1294615.0,0.0,1294615.25,38.79999924,89.0,9.03,8,0.7989900440359946,0.20100995596400537,0.9999998068924338,0.0,0.0,4.0
1570,1960,1.0,1,56884,0,56884,NonResidential,Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,None,None,56884.0,0.0,0.0,0.0,785464.0,602881.0,1388345.125,24.39999962,71.0,37.49,56,1.0,0.0,0.5657555789667212,0.43424433099802906,0.0,1.0
